host_chr	host_pos	virus_pos	support	sample	virus_strand	method
chr1	3842092	518	590	T	-	Pos
chr1	7133316	1970	214	T	-	Pos
chr1	10294945	2552	57	T	-	PB
chr1	18566973	559	29	N	-	PB
chr1	23118463	2901	84	T	-	PB
chr1	26648600	1756	8	T	+	PB
chr1	45226038	2913	29	N	+	PB
chr1	45473327	2898	153	T	-	Pos
chr1	45992449	2843	49	T	+	PB
chr1	48067825	2046	75	N	-	Pos
chr1	49785388	1886	51	N	-	Pos
chr1	50721820	1927	45	T	-	PB
chr1	78175974	1982	54	N	-	PB
chr1	83179531	2397	125	N	-	PB
chr1	83585368	958	87	T	-	PB
chr1	83704072	3121	65	T	-	PB
chr1	83848550	2205	59	T	-	Pos
chr1	84673058	1173	61	T	-	Pos
chr1	85648462	1225	281	T	-	PB
chr1	86225993	2184	45	T	-	PB
chr1	87384787	49	30	T	-	PB
chr1	89199412	1591	18	T	-	Pos
chr1	90633615	1706	6	N	+	PB
chr1	100563675	1394	11	N	-	PB
chr1	109747546	1782	37	T	-	Pos
chr1	124637792	844	64	N	+	PB
chr1	141452885	472	22	N	-	PB
chr1	144422040	1288	12	N	-	PB
chr1	155118734	1382	29	N	-	PB
chr1	159885440	351	147	N	-	Pos
chr1	164559380	1321	109	T	-	Pos
chr1	164693411	1064	16	N	-	PB
chr1	164901428	1811	34	T	-	Pos
chr1	166774660	545	175	N	+	PB
chr1	167582702	977	28	T	+	PB
chr1	168606311	2558	75	T	-	PB
chr1	171686486	2910	25	N	+	PB
chr1	175335638	400	50	T	-	Pos
chr1	177867590	1374	129	N	-	Pos
chr1	178075217	606	340	N	+	PB
chr1	238097766	671	379	N	+	PB
chr1	242519603	2916	60	N	-	PB
chr1	245256506	1698	55	N	-	PB
chr2	5532632	2517	21	N	+	PB
chr2	16440125	1490	100	T	-	PB
chr2	26871863	2277	103	T	-	PB
chr2	32914268	2734	241	N	-	Pos
chr2	45572314	354	68	T	-	PB
chr2	56086095	1802	180	N	-	PB
chr2	56723476	2333	44	T	+	PB
chr2	58271436	2750	40	T	-	PB
chr2	62130457	2572	41	T	-	PB
chr2	66805803	2010	152	T	+	PB
chr2	67231608	875	55	T	-	PB
chr2	68070010	1210	31	T	-	Pos
chr2	68500877	757	222	T	-	PB
chr2	68742876	2395	31	N	-	Pos
chr2	69635004	1761	51	N	-	PB
chr2	70387972	2554	84	T	-	Pos
chr2	71099169	390	341	N	-	Pos
chr2	72105243	1005	39	T	-	PB
chr2	72550459	1771	148	N	-	PB
chr2	73512207	580	276	N	-	Pos
chr2	73694407	2946	442	N	+	Pos
chr2	73943128	1935	9	N	-	PB
chr2	78180808	1743	13	T	-	PB
chr2	83963653	974	9	N	+	PB
chr2	96461411	815	5	N	+	Pos
chr2	97228277	2455	59	T	+	PB
chr2	100585146	3037	166	N	+	PB
chr2	101700500	2620	189	N	-	PB
chr2	102884122	1985	195	T	-	PB
chr2	103393004	678	25	N	+	PB
chr2	103714961	911	147	N	-	PB
chr2	104058654	1562	406	N	+	Pos
chr2	104374693	1224	20	T	+	Pos
chr2	105196841	1881	33	T	-	Pos
chr2	106036486	489	63	N	+	PB
chr2	107057919	1736	124	T	-	PB
chr2	108078426	3069	70	T	+	Pos
chr2	121173327	2688	74	N	-	PB
chr2	130051135	424	79	N	-	Pos
chr2	136223161	901	27	T	+	PB
chr2	138946696	1530	147	T	-	PB
chr2	153658943	3069	40	N	-	Pos
chr2	163233294	389	99	N	-	PB
chr2	178880099	1741	29	T	-	PB
chr2	186143985	773	130	N	-	PB
chr2	195950204	2422	170	T	-	PB
chr2	196409617	1953	594	T	+	PB
chr2	202735641	1407	53	N	+	Pos
chr2	203205658	1359	1100	T	+	PB
chr2	203363277	1113	337	T	+	PB
chr2	203476125	2966	41	N	+	Pos
chr2	204516857	1426	44	T	-	PB
chr2	204595746	681	200	N	-	PB
chr2	204808326	2369	130	T	+	PB
chr2	207587686	2852	386	N	+	Pos
chr2	209373642	3107	50	N	+	Pos
chr2	210463775	1895	249	T	-	PB
chr2	212006783	2940	239	N	-	PB
chr2	214259491	1772	46	T	+	PB
chr2	223861263	1637	537	N	-	PB
chr2	226435129	1213	43	N	+	PB
chr2	227939072	1264	140	N	-	PB
chr2	234241908	3130	288	N	+	Pos
chr3	13721348	447	184	T	+	PB
chr3	22031650	1273	257	N	-	PB
chr3	25883025	688	1485	T	-	Pos
chr3	33276333	3077	81	N	-	PB
chr3	34475898	1484	515	N	-	PB
chr3	38706567	882	57	N	-	Pos
chr3	39676717	2913	27	N	+	Pos
chr3	44124316	2885	43	N	-	Pos
chr3	49431580	516	118	N	-	Pos
chr3	72491106	1232	176	N	-	PB
chr3	79131042	2922	120	T	+	PB
chr3	79826012	2980	8	N	-	Pos
chr3	84696102	2563	43	N	-	Pos
chr3	93083854	816	23	T	-	Pos
chr3	94818016	1711	59	N	-	PB
chr3	95440682	2091	773	T	+	PB
chr3	96396822	1898	576	N	+	PB
chr3	99071620	2400	302	T	+	PB
chr3	100075064	2930	56	N	-	Pos
chr3	100524970	367	26	N	+	PB
chr3	101212307	1176	11	N	-	PB
chr3	103020009	847	100	T	-	PB
chr3	103893728	1137	16	T	+	PB
chr3	104426512	1760	54	T	-	PB
chr3	104875273	593	230	N	+	Pos
chr3	105283026	2466	193	N	-	Pos
chr3	106314011	1272	138	N	-	PB
chr3	106774618	633	40	N	-	Pos
chr3	106990773	616	24	T	-	PB
chr3	107003483	3178	34	T	+	Pos
chr3	112106291	2535	30	T	+	PB
chr3	112861338	719	49	N	-	PB
chr3	116620577	2885	284	T	-	PB
chr3	127093287	2411	19	N	+	PB
chr3	129409860	496	100	T	+	PB
chr3	130641557	1044	24	T	+	PB
chr3	139054928	1827	105	T	-	PB
chr3	157278743	2607	73	N	+	PB
chr4	11374565	1445	1011	N	+	Pos
chr4	18356892	633	78	N	+	Pos
chr4	25241322	2088	720	N	-	PB
chr4	32491493	1871	92	T	-	PB
chr4	38023022	429	38	T	-	PB
chr4	92007321	1483	36	N	-	PB
chr4	92956294	2414	59	N	-	PB
chr4	94969696	1362	17	N	-	PB
chr4	95345331	2117	1264	T	+	PB
chr4	110317880	1388	449	N	-	Pos
chr4	111680854	851	650	T	+	PB
chr4	113309462	522	20	N	+	PB
chr4	113688502	1341	47	T	+	Pos
chr4	140815679	1994	129	N	+	PB
chr4	144525879	1702	42	N	+	PB
chr4	157857930	3215	154	N	-	PB
chr4	183671129	2537	95	N	-	Pos
chr5	8466321	1809	830	T	+	PB
chr5	33537411	1445	137	N	-	PB
chr5	36575725	1314	18	T	-	Pos
chr5	41192773	2459	238	T	-	PB
chr5	41932667	1452	172	T	+	PB
chr5	43432121	547	900	N	+	PB
chr5	47514475	848	35	N	-	Pos
chr5	59028422	1026	536	T	+	PB
chr5	69589813	2600	34	T	-	Pos
chr5	70828646	18	247	T	-	PB
chr5	73211411	2589	104	N	-	PB
chr5	75094803	2927	48	N	+	PB
chr5	75617371	1743	50	N	+	Pos
chr5	76624580	1438	94	T	-	PB
chr5	76746480	2808	37	T	+	Pos
chr5	78626605	2720	13	N	-	PB
chr5	79943472	3163	17	T	+	Pos
chr5	80072209	1972	84	N	-	Pos
chr5	81814886	2108	211	N	-	Pos
chr5	83047005	2309	37	N	+	PB
chr5	84949388	3122	48	N	+	Pos
chr5	103696913	2675	28	N	+	PB
chr5	103967572	1262	68	T	+	PB
chr5	107829763	2045	73	N	-	Pos
chr5	110095215	740	237	T	-	Pos
chr5	114276008	2193	40	T	-	PB
chr5	130182224	1941	90	N	+	PB
chr5	136396834	1848	84	N	-	PB
chr5	154433796	1246	136	N	+	PB
chr5	154700926	2842	5	N	-	Pos
chr5	155880629	1154	74	N	-	PB
chr5	156634581	2101	237	N	+	Pos
chr5	157327738	3124	68	T	+	PB
chr5	158233423	2528	15	T	-	PB
chr5	158777041	2448	126	T	+	PB
chr5	159271269	600	51	N	-	PB
chr5	159592604	1174	104	N	+	PB
chr5	164807710	1082	42	T	+	PB
chr6	34486852	2120	15	T	-	Pos
chr6	35209897	1790	22	T	-	Pos
chr6	35322231	2959	55	T	+	PB
chr6	38666148	758	22	T	-	PB
chr6	121669716	1879	113	N	-	PB
chr6	145138435	2234	724	N	-	Pos
chr6	157671821	1862	54	T	-	Pos
chr7	9074914	2309	246	T	-	PB
chr7	13017825	2562	45	T	+	Pos
chr7	15667092	1980	31	T	-	Pos
chr7	16762799	409	57	T	+	PB
chr7	16982020	2796	48	N	-	PB
chr7	17473691	1804	58	T	-	PB
chr7	17753047	1447	149	T	+	Pos
chr7	23332515	2241	186	N	+	Pos
chr7	24105169	459	12	N	-	Pos
chr7	25260909	1369	210	T	-	PB
chr7	26069296	730	96	T	-	PB
chr7	26129520	317	51	T	+	Pos
chr7	26400535	1410	3	N	-	Pos
chr7	30210773	2948	41	T	-	PB
chr7	41242279	3184	5	N	+	PB
chr7	42192930	1295	301	T	-	PB
chr7	61838762	3063	22	N	+	PB
chr7	83525361	413	67	N	-	PB
chr7	93772649	1345	178	N	-	PB
chr7	95490607	1274	108	N	+	Pos
chr7	114694423	107	12	N	-	PB
chr7	118046654	2578	48	T	-	PB
chr7	147569954	880	18	T	-	PB
chr8	1304168	2802	107	N	-	PB
chr8	8484657	1173	176	T	-	PB
chr8	22730494	3021	215	N	+	PB
chr8	25650756	674	63	N	-	PB
chr8	36674513	2565	112	T	-	Pos
chr8	38816220	1665	47	N	+	Pos
chr8	43748036	572	368	N	-	PB
chr8	44078296	1889	402	N	+	PB
chr8	46216113	1264	118	T	-	PB
chr8	47452883	2035	73	T	+	PB
chr8	48710912	3163	170	N	+	Pos
chr8	48774983	2218	252	T	-	PB
chr8	51082908	2027	58	N	-	PB
chr8	51117857	2539	94	N	-	PB
chr8	55875317	2696	565	T	+	Pos
chr8	80442063	3027	27	T	-	PB
chr8	81731332	1818	252	T	-	Pos
chr8	82093708	665	54	N	-	PB
chr8	82840926	1172	34	N	-	PB
chr8	84588162	1158	184	T	-	PB
chr8	89297639	2021	32	T	+	PB
chr8	95925797	2218	231	N	+	Pos
chr8	106172885	1183	41	N	-	PB
chr8	107750692	1769	798	T	+	PB
chr8	108768772	850	43	T	-	Pos
chr8	111575989	1850	316	N	-	PB
chr8	123161557	1987	55	T	+	Pos
chr8	125750351	982	121	T	+	PB
chr9	456199	1942	32	T	-	PB
chr9	24762768	3038	112	T	-	PB
chr9	47515485	2877	82	T	-	PB
chr9	53388212	407	86	N	+	PB
chr9	53735814	568	152	T	-	PB
chr9	54976875	1417	3594	T	+	Pos
chr9	60350211	1908	91	N	-	PB
chr9	84514780	2373	1606	N	-	PB
chr9	93315086	445	7	T	-	PB
chr9	95714369	631	39	T	-	Pos
chr9	98529968	1960	44	N	+	PB
chr9	98812642	627	149	T	-	PB
chr9	99501621	300	132	N	-	PB
chr9	104387427	1770	238	T	-	PB
chr9	109398571	1784	76	T	+	PB
chr9	111206477	887	51	T	+	PB
chr9	112921065	2649	335	N	-	Pos
chr9	116058004	2604	53	N	-	PB
chr9	118050481	1304	728	N	+	Pos
chr9	118583402	839	46	N	-	PB
chr9	120536382	821	889	T	-	PB
chr9	120582084	1714	25	T	-	PB
