host_chr	host_pos	virus_pos	support	sample	virus_strand	method
chr1	14679192	826	49	T	-	Pos
chr1	162869909	1300	84	N	-	Pos
chr10	42400679	2994	52	T	+	Pos
chr11	68599749	2966	11	T	-	Pos
chr11	87245544	157	77	T	-	Pos
chr14	95128373	360	171	N	+	Pos
chr15	84807114	384	61	N	-	Pos
chr19	40907243	1829	82	T	+	Pos
chr2	62717949	1814	1057	T	+	Pos
chr2	88051903	708	64	T	-	Pos
chr21	28630875	700	70	T	+	Pos
chr3	120625203	2587	125	T	-	Pos
chr3	164597263	425	95	T	-	Pos
chr3	164992704	2821	82	T	-	Pos
chr3	169454093	3074	68	T	+	Pos
chr5	32251369	2145	14	T	-	Pos
chrX	31922494	1768	144	T	+	Pos
chrX	93254083	1493	132	N	-	Pos
chr1	161046614	536	106	N	-	PB
chr1	185096616	2128	45	N	+	PB
chr1	203520276	1759	37	N	-	PB
chr1	229446173	2966	11	T	-	PB
chr1	48909387	133	80	T	-	PB
chr12	59436898	2891	131	N	+	PB
chr15	65010145	315	160	N	+	PB
chr15	84140049	353	126	T	-	PB
chr19	36222412	1764	313	T	+	PB
chr19	7186276	2198	35	T	-	PB
chr2	62718929	1493	787	T	-	PB
chr2	155338509	2938	80	N	+	PB
chr2	62717822	1775	57	N	+	PB
chr2	62717906	1814	128	N	+	PB
chr2	87244674	708	72	N	-	PB
chr3	120625193	2587	125	N	-	PB
chr3	123207449	682	62	N	-	PB
chr3	182901991	2966	12	N	-	PB
chr3	24157583	2966	12	N	-	PB
chr4	176623853	2966	12	N	-	PB
chr4	49282877	94	11	N	-	PB
chr5	75917294	535	247	T	+	PB
chr5	75917326	535	249	T	+	PB
chr7	127555945	2726	78	N	-	PB
chr7	92571278	350	50	N	-	PB
chr8	101643875	1814	33	N	+	PB
chr8	130907491	163	37	N	-	PB
chr8	59952698	2145	14	N	-	PB
chr9	133627810	133	170	T	-	PB
chr9	72653115	2331	20	T	+	PB
chrX	20225018	3132	193	N	-	PB
